id	character	keyword	frame	reviewed
rtk1	一	one	1	no
rtk2	二	two	2	no
rtk3	三	three	3	no
rtk4	四	four	4	no
rtk5	五	five	5	no
rtk6	六	six	6	no
rtk7	七	seven	7	yes
rtk8	八	eight	8	no
rtk9	九	nine	9	yes
rtk10	十	ten	10	no
rtk11	口	mouth	11	no
rtk12	日	day	12	yes
rtk13	月	month	13	yes
rtk14	田	rice field	14	no
rtk15	目	eye	15	no
rtk16	古	old	16	no
rtk17	吾	i	17	no
rtk18	冒	risk	18	no
rtk19	朋	companion	19	no
rtk20	明	bright	20	no
rtk21	唱	chant	21	no
rtk22	晶	sparkle	22	no
rtk23	品	goods	23	no
rtk24	呂	spine	24	no
rtk25	昌	prosperous	25	no
rtk26	早	early	26	no
rtk27	旭	rising sun	27	no
rtk28	世	generation	28	no
rtk29	胃	stomach	29	no
rtk30	旦	nightbreak	30	no
rtk31	胆	gall bladder	31	no
rtk32	亘	span	32	no
rtk33	凹	concave	33	no
rtk34	凸	convex	34	no
rtk35	旧	olden times	35	no
rtk36	自	oneself	36	no
rtk37	白	white	37	no
rtk38	百	hundred	38	no
rtk39	中	in	39	no
rtk40	千	thousand	40	no
rtk41	舌	tongue	41	no
rtk42	升	measuring box	42	no
rtk43	昇	rise up	43	no
rtk44	丸	round	44	no
rtk45	寸	measurement	45	no
rtk46	肘	elbow	46	no
rtk47	専	specialty	47	no
rtk48	博	dr.	48	no
rtk49	占	fortune-telling	49	no
rtk50	上	above	50	no
rtk51	下	below	51	no
rtk52	卓	eminent	52	yes
rtk53	朝	morning	53	yes
rtk54	嘲	derision	54	yes
rtk55	只	only	55	no
rtk56	貝	shellfish	56	no
rtk57	唄	pop song	57	yes
rtk58	貞	upright	58	yes
rtk59	員	employee	59	yes
rtk60	貼	post a bill	60	yes
rtk61	見	see	61	no
rtk62	児	newborn babe	62	no
rtk63	元	beginning	63	no
rtk64	頁	page	64	yes
rtk65	頑	stubborn	65	yes
rtk66	凡	mediocre	66	no
rtk67	負	defeat	67	yes
rtk68	万	ten thousand	68	no
rtk69	句	phrase	69	no
rtk70	肌	texture	70	no
rtk71	旬	decameron	71	no
rtk72	勺	ladle	72	no
rtk73	的	bull's eye	73	no
rtk74	首	neck	74	yes
rtk75	乙	fish guts	75	no
rtk76	乱	riot	76	no
rtk77	直	straightaway	77	no
rtk78	具	tool	78	no
rtk79	真	true	79	no
rtk80	工	craft	80	no
rtk81	左	left	81	no
rtk82	右	right	82	no
rtk83	有	possess	83	no
rtk84	賄	bribe	84	yes
rtk85	貢	tribute	85	yes
rtk86	項	paragraph	86	yes
